biosample_id original_sample_name
29064 ST1_1656_1_BM
29065 ST1_1656_4_BM
29066 ST1_1674_1_BM
29067 ST1_1694_1_BM
29068 ST1_1694_4_BM
29069 ST1_1713_1_BM
29070 ST1_1722_1_BM
29071 ST1_1736_1_BM
29072 ST1_1736_2_BM
29073 ST1_1817_1_BM
29074 ST1_1837_1_BM
29075 ST1_1854_1_BM
29076 ST1_1906_1_BM
29077 ST1_1940_1_BM
29078 ST1_1957_1_BM
29079 ST1_1957_2_BM
29080 ST1_2001_1_BM
29081 ST1_2090_1_BM
29082 ST1_2111_1_BM
29083 ST1_2128_1_BM
29084 ST1_2137_1_BM
29085 ST1_2140_1_BM
29086 ST1_2211_1_BM
29087 ST1_2209_1_BM
29088 ST1_2239_1_BM
29089 ST1_2284_1_BM
29090 ST1_2397_1_BM
29091 ST1_2383_1_BM
29092 ST1_2388_1_BM
29093 ST1_2411_1_BM
29094 ST1_2459_1_BM
29095 ST1_2516_1_BM
29096 ST1_2532_1_BM
29097 ST1_2559_1_BM
29098 ST1_1339_1_BM
29099 ST1_1236_3_BM
29100 ST1_1918_1_BM
29101 ST1_2329_1_BM
29102 ST1_1680_1_BM
29103 ST1_2119_1_BM
29104 ST1_2213_1_BM
29105 ST1_2476_1_BM
29106 ST1_2549_1_BM
29107 ST1_1309_1_BM
29108 ST1_1309_2_BM
29109 ST1_1431_1_BM
29110 ST1_2308_1_BM
29111 ST1_1077_1_BM
29112 ST1_1078_1_BM
29113 ST1_1148_1_BM
29114 ST1_1189_1_BM
29115 ST1_1560_1_BM
29116 ST1_1579_1_BM
29117 ST1_1613_1_BM
29118 ST1_1761_1_BM
29119 ST1_1890_1_BM
29120 ST1_2183_1_BM
29121 ST1_2246_1_BM
29122 ST1_2477_1_BM
29123 ST1_1186_2_BM
29124 ST1_1202_1_BM
29125 ST1_1202_2_BM
29126 ST1_1210_1_BM
29127 ST1_1293_1_BM
29128 ST1_1293_3_BM
29129 ST1_1293_4_BM
29130 ST1_1300_1_BM
29131 ST1_1338_1_BM
29132 ST1_1338_2_BM
29133 ST1_1518_2_BM
29134 ST1_1518_3_BM
29135 ST1_1772_1_BM
29136 ST1_1983_1_BM
29137 ST1_1991_1_BM
29138 ST1_2097_1_BM
29139 ST1_2367_1_BM
29140 ST1_2412_1_BM
29141 ST1_2433_1_BM
29142 ST1_2458_1_BM
29143 ST1_1112_3_BM
29144 ST1_1152_1_BM
29145 ST1_1283_1_BM
29146 ST1_1360_1_BM
29147 ST1_1484_1_BM
29148 ST1_1484_2_BM
29149 ST1_1601_1_BM
29150 ST1_1641_1_BM
29151 ST1_2083_1_BM
29152 ST1_2083_2_BM
29153 ST1_2400_1_BM
29154 ST1_2473_1_BM
29155 ST1_1407_3_BM
29156 ST1_1424_1_BM
29157 ST1_1424_2_BM
29158 ST1_1424_3_BM
29159 ST1_1556_1_BM
29160 ST1_1617_1_BM
29161 ST1_1723_1_BM
29162 ST1_1984_2_BM
29163 ST1_1107_1_BM
29164 ST1_1687_1_BM
29165 ST1_1929_1_BM
29166 ST1_2132_1_BM
29167 ST1_2455_1_BM
29168 ST1_1388_1_BM
29169 ST1_2598_1_BM
29170 ST1_1439_1_BM
29171 ST1_1108_1_BM
29172 ST1_1164_1_BM
29173 ST1_1169_1_BM
29174 ST1_1796_1_BM
29175 ST1_2186_1_BM
29176 ST1_2545_1_BM
29177 ST1_1436_1_BM
29178 ST1_2595_1_BM
29179 ST1_1184_1_BM
29180 ST1_1250_1_BM
29181 ST1_1344_1_BM
29182 ST1_1453_1_BM
29183 ST1_1538_1_BM
29184 ST1_1588_1_BM
29185 ST1_1596_1_BM
29186 ST1_1596_2_BM
29187 ST1_1740_1_BM
29188 ST1_1794_1_BM
29189 ST1_1932_1_BM
29190 ST1_1980_1_BM
29191 ST1_2173_1_BM
29192 ST1_2220_1_BM
29193 ST1_2587_1_BM
29194 ST1_1216_1_BM
29195 ST1_1364_1_BM
29196 ST1_1531_1_BM
29197 ST1_1659_1_BM
29198 ST1_1659_3_BM
29199 ST1_1659_4_BM
29200 ST1_1803_1_BM
29201 ST1_1810_1_BM
29202 ST1_1831_1_BM
29203 ST1_1917_1_BM
29204 ST1_2290_1_BM
29205 ST1_2461_1_BM
29206 ST1_1348_1_BM
29207 ST1_1371_1_BM
29208 ST1_1377_1_BM
29209 ST1_1703_1_BM
29210 ST1_2166_1_BM
29211 ST1_2324_1_BM
29212 ST1_2326_1_BM
29213 ST1_1090_1_BM
29214 ST1_1386_1_BM
29215 ST1_1403_1_BM
29216 ST1_1462_1_BM
29217 ST1_1462_2_BM
29218 ST1_1462_3_BM
29219 ST1_1462_4_BM
29220 ST1_1608_1_BM
29221 ST1_1662_1_BM
29222 ST1_1689_1_BM
29223 ST1_1718_1_BM
29224 ST1_1733_1_BM
29225 ST1_1775_1_BM
29226 ST1_1795_1_BM
29227 ST1_1795_2_BM
29228 ST1_1825_1_BM
29229 ST1_1835_1_BM
29230 ST1_1855_1_BM
29231 ST1_1985_1_BM
29232 ST1_2072_1_BM
29233 ST1_2072_2_BM
29234 ST1_2095_1_BM
29235 ST1_2095_2_BM
29236 ST1_2159_1_BM
29237 ST1_2237_1_BM
29238 ST1_2236_1_BM
29239 ST1_2244_1_BM
29240 ST1_2281_1_BM
29241 ST1_2292_1_BM
29242 ST1_2325_1_BM
29243 ST1_2363_2_BM
29244 ST1_2394_1_BM
29245 ST1_2399_1_BM
29246 ST1_2453_1_BM
29247 ST1_2503_1_BM
29248 ST1_2522_1_BM
29249 ST1_2524_1_BM
29250 ST1_2599_1_BM
29251 ST1_1167_1_BM
29252 ST1_1587_1_BM
29253 ST1_1857_1_BM
29254 ST1_2297_1_BM
29255 ST1_2302_1_BM
29256 ST1_2352_1_BM
29257 ST1_2464_1_BM
29258 ST1_2217_1_BM
29259 ST1_1629_1_BM
29260 ST1_1380_1_BM
29261 ST1_1380_2_BM
29262 ST1_1432_1_BM
29263 ST1_1432_2_BM
29264 ST1_1460_1_BM
29265 ST1_1542_1_BM
